user_id,session_id,article_id,article_rank,click,time_spent
1,1,71418,1,1,15
1,1,74675,2,1,26
1,1,114703,3,1,20
1,1,136375,4,0,0
1,1,89298,5,1,158
1,1,107789,6,0,0
1,1,135375,7,1,21
1,1,100939,8,1,21
1,1,36932,9,1,28
1,1,35434,10,1,19
1,2,128118,1,0,0
1,2,91049,2,0,0
1,2,14256,3,0,0
1,2,145890,4,0,0
1,2,86477,5,0,0
1,2,54011,6,0,0
1,2,138609,7,0,0
1,2,56592,8,0,0
1,2,94021,9,0,0
1,2,26454,10,0,0
2,1,76499,1,1,15
2,1,65826,2,1,17
2,1,33980,3,0,0
2,1,71925,4,0,0
2,1,53357,5,0,0
2,1,33400,6,1,25
2,1,73522,7,0,0
2,1,141456,8,0,0
2,1,65189,9,1,15
2,1,61895,10,1,10
2,2,51828,1,0,0
2,2,114863,2,0,0
2,2,89901,3,0,0
2,2,118830,4,0,0
2,2,148345,5,0,0
2,2,84970,6,0,0
2,2,62475,7,1,24
2,2,44263,8,1,22
2,2,125137,9,0,0
2,2,51816,10,0,0
2,3,76333,1,1,21
2,3,56832,2,1,164
2,3,54193,3,1,16
2,3,57251,4,1,12
2,3,62932,5,1,31
2,3,9062,6,1,21
2,3,13107,7,1,178
2,3,96122,8,1,23
2,3,72519,9,0,0
2,3,125796,10,1,144
2,4,124090,1,1,14
2,4,19184,2,1,135
2,4,113563,3,1,25
2,4,123739,4,0,0
2,4,6838,5,1,22
2,4,60123,6,0,0
2,4,77420,7,0,0
2,4,86426,8,0,0
2,4,8962,9,0,0
2,4,44503,10,0,0
3,1,23325,1,1,154
3,1,102836,2,1,20
3,1,144596,3,1,19
3,1,128174,4,0,0
3,1,141960,5,1,171
3,1,94521,6,1,26
3,1,140798,7,0,0
3,1,118987,8,1,18
3,1,136073,9,1,175
3,1,23637,10,1,18
4,1,73025,1,0,0
4,1,21192,2,0,0
4,1,15585,3,0,0
4,1,46101,4,0,0
4,1,20850,5,0,0
4,1,34411,6,0,0
4,1,25250,7,0,0
4,1,83198,8,0,0
4,1,6644,9,0,0
4,1,63420,10,0,0
4,2,75173,1,0,0
4,2,19910,2,0,0
4,2,3610,3,0,0
4,2,52290,4,1,20
4,2,90431,5,0,0
4,2,22159,6,1,15
4,2,9299,7,0,0
4,2,67580,8,1,19
4,2,120996,9,0,0
4,2,125899,10,1,18
5,1,142899,1,0,0
5,1,122463,2,1,134
5,1,61681,3,1,15
5,1,136746,4,0,0
5,1,111418,5,1,14
5,1,48994,6,0,0
5,1,78490,7,0,0
5,1,122964,8,0,0
5,1,87560,9,0,0
5,1,47081,10,0,0
5,2,473,1,1,25
5,2,73397,2,0,0
5,2,4481,3,1,36
5,2,72712,4,1,21
5,2,34721,5,1,171
5,2,12622,6,0,0
5,2,71866,7,0,0
5,2,142351,8,1,15
5,2,40273,9,0,0
5,2,15695,10,0,0
5,3,113429,1,0,0
5,3,146006,2,0,0
5,3,80062,3,0,0
5,3,79381,4,1,11
5,3,64669,5,1,14
5,3,20713,6,0,0
5,3,46878,7,0,0
5,3,52847,8,0,0
5,3,57777,9,0,0
5,3,32373,10,0,0
6,1,107081,1,1,24
6,1,138970,2,1,21
6,1,116452,3,1,29
6,1,34035,4,0,0
6,1,61294,5,1,20
6,1,102841,6,1,28
6,1,202,7,1,20
6,1,64524,8,0,0
6,1,116058,9,1,9
6,1,73819,10,1,12
6,2,84432,1,0,0
6,2,92044,2,0,0
6,2,121601,3,0,0
6,2,13020,4,0,0
6,2,103896,5,0,0
6,2,3038,6,0,0
6,2,133941,7,0,0
6,2,120980,8,0,0
6,2,106774,9,0,0
6,2,95970,10,0,0
6,3,113371,1,1,25
6,3,77699,2,1,19
6,3,15231,3,1,15
6,3,30319,4,0,0
6,3,110888,5,1,18
6,3,131285,6,1,17
6,3,100289,7,1,125
6,3,55739,8,1,20
6,3,80527,9,1,23
6,3,149958,10,1,18
7,1,75724,1,1,162
7,1,106012,2,1,16
7,1,110637,3,0,0
7,1,26533,4,1,18
7,1,101744,5,0,0
7,1,40045,6,1,21
7,1,94843,7,1,156
7,1,67803,8,1,145
7,1,119237,9,1,23
7,1,136415,10,1,35
7,2,18646,1,1,23
7,2,125359,2,0,0
7,2,14975,3,0,0
7,2,38768,4,0,0
7,2,88262,5,0,0
7,2,78199,6,0,0
7,2,10858,7,0,0
7,2,123010,8,0,0
7,2,135510,9,0,0
7,2,18991,10,1,22
8,1,127895,1,1,25
